,GA,Optimal,time(sec)
0,1357.0,1059,15.685202836990356
1,1048.0,888,15.594114780426025
2,1426.0,1005,15.670006036758423
3,1192.0,1005,15.625040531158447
4,1103.0,887,15.382795333862305
5,1333.0,1010,15.774219512939453
6,490.0,397,16.00355052947998
7,1148.0,899,15.61620831489563
8,1092.0,934,15.811084032058716
9,1192.0,944,15.654250144958496
